Label,Num,Adjectives
P-High,1,adrenaline
P-High,2,cocky
P-High,3,daring
P-High,4,extravagant
P-High,5,freewheeling
P-High,6,gutsy
P-High,7,impetuous
P-High,8,jaded
P-High,9,lethargic
P-High,10,reckless
P-High,11,adrenaline
P-High,12,cocky
P-High,13,daring
P-High,14,extravagant
P-High,15,freewheeling
P-High,16,gutsy
P-High,17,impetuous
P-High,18,jaded
P-High,19,lethargic
P-High,20,reckless
M-High,1,adroit
M-High,2,cunning
M-High,3,scheming
M-High,4,aggressive
M-High,5,devious
M-High,6,shrewd
M-High,7,manipulative
M-High,8,self-serving
M-High,9,ambitious
M-High,10,tactical
M-High,11,adroit
M-High,12,cunning
M-High,13,scheming
M-High,14,aggressive
M-High,15,devious
M-High,16,shrewd
M-High,17,manipulative
M-High,18,self-serving
M-High,19,ambitious
M-High,20,tactical
P-Low,1,compassionate
P-Low,2,thoughtful
P-Low,3,considerate
P-Low,4,sympathetic
P-Low,5,sensitive
P-Low,6,reflective
P-Low,7,caring
P-Low,8,altruistic
P-Low,9,mindful
P-Low,10,ethical
P-Low,11,compassionate
P-Low,12,thoughtful
P-Low,13,considerate
P-Low,14,sympathetic
P-Low,15,sensitive
P-Low,16,reflective
P-Low,17,caring
P-Low,18,altruistic
P-Low,19,mindful
P-Low,20,ethical
N-Low,1,unassuming
N-Low,2,self-effacing
N-Low,3,reserved
N-Low,4,subtle
N-Low,5,low-key
N-Low,6,down-to-earth
N-Low,7,modest
N-Low,8,unpretentious
N-Low,9,humble
N-Low,10,discreet
N-Low,11,unassuming
N-Low,12,self-effacing
N-Low,13,reserved
N-Low,14,subtle
N-Low,15,low-key
N-Low,16,down-to-earth
N-Low,17,modest
N-Low,18,unpretentious
N-Low,19,humble
N-Low,20,discreet
M-Low,1,integrity-driven
M-Low,2,ethical
M-Low,3,transparent
M-Low,4,honest
M-Low,5,moral
M-Low,6,sincere
M-Low,7,trustworthy
M-Low,8,straightforward
M-Low,9,respectful
M-Low,10,sacred
M-Low,11,integrity-driven
M-Low,12,ethical
M-Low,13,transparent
M-Low,14,honest
M-Low,15,moral
M-Low,16,sincere
M-Low,17,trustworthy
M-Low,18,straightforward
M-Low,19,respectful
M-Low,20,sacred
N-High,1,arrogant
N-High,2,hubristic
N-High,3,overbearing
N-High,4,pompous
N-High,5,self-aggrandizing
N-High,6,supercilious
N-High,7,vainglorious
N-High,8,grandiose
N-High,9,snobbish
