Label,Num,Adjectives
P-High,1,reckless
P-High,2,maverick
P-High,3,unpredictable
P-High,4,ruthless
P-High,5,adventurous
P-High,6,impetuous
P-High,7,irresponsible
P-High,8,hedonistic
P-High,9,unconstrained
P-High,10,chaotic
P-High,11,reckless
P-High,12,maverick
P-High,13,unpredictable
P-High,14,ruthless
P-High,15,adventurous
P-High,16,impetuous
P-High,17,irresponsible
P-High,18,hedonistic
P-High,19,unconstrained
P-High,20,chaotic
M-High,1,cunning
M-High,2,manipulative
M-High,3,ruthless
M-High,4,scheming
M-High,5,devious
M-High,6,ambitious
M-High,7,cynical
M-High,8,exploitative
M-High,9,charismatic
M-High,10,machiavellian
M-High,11,cunning
M-High,12,manipulative
M-High,13,ruthless
M-High,14,scheming
M-High,15,devious
M-High,16,ambitious
M-High,17,cynical
M-High,18,exploitative
M-High,19,charismatic
M-High,20,machiavellian
P-Low,1,compassionate
P-Low,2,prudent
P-Low,3,attentive
P-Low,4,considerate
P-Low,5,thoughtful
P-Low,6,caring
P-Low,7,reflective
P-Low,8,empathetic
P-Low,9,responsible
P-Low,10,introspective
P-Low,11,compassionate
P-Low,12,prudent
P-Low,13,attentive
P-Low,14,considerate
P-Low,15,thoughtful
P-Low,16,caring
P-Low,17,reflective
P-Low,18,empathetic
P-Low,19,responsible
P-Low,20,introspective
N-Low,1,unassuming
N-Low,2,modest
N-Low,3,unpretentious
N-Low,4,low-key
N-Low,5,self-effacing
N-Low,6,unassumingly
N-Low,7,unobtrusive
N-Low,8,humble-minded
N-Low,9,unshowy
N-Low,10,subdued
N-Low,11,unassuming
N-Low,12,modest
N-Low,13,unpretentious
N-Low,14,low-key
N-Low,15,self-effacing
N-Low,16,unassumingly
N-Low,17,unobtrusive
N-Low,18,humble-minded
N-Low,19,unshowy
N-Low,20,subdued
M-Low,1,integrity-driven
M-Low,2,authentic
M-Low,3,principled
M-Low,4,transparent
M-Low,5,respectful
M-Low,6,unwavering
M-Low,7,sincere
M-Low,8,consistent
M-Low,9,trustworthy
M-Low,10,uncompromising
M-Low,11,integrity-driven
M-Low,12,authentic
M-Low,13,principled
M-Low,14,transparent
M-Low,15,respectful
M-Low,16,unwavering
M-Low,17,sincere
M-Low,18,consistent
M-Low,19,trustworthy
M-Low,20,uncompromising
N-High,1,condescending
N-High,2,self-aggrandizing
N-High,3,egotistical
N-High,4,boastful
N-High,5,superior
N-High,6,pretentious
N-High,7,dominating
N-High,8,grandiose
N-High,9,arrogant
N-High,10,overconfident
N-High,11,condescending
N-High,12,self-aggrandizing
N-High,13,egotistical
N-High,14,boastful
N-High,15,superior
N-High,16,pretentious
N-High,17,dominating
N-High,18,grandiose
N-High,19,arrogant
N-High,20,overconfident
