Label,Num,Adjectives
P-High,1,reckless
P-High,2,adventurous
P-High,3,chaotic
P-High,4,daring
P-High,5,unpredictable
P-High,6,irresponsible
P-High,7,self-centered
P-High,8,maverick
P-High,9,rash
P-High,10,unconventional
P-High,11,reckless
P-High,12,adventurous
P-High,13,chaotic
P-High,14,daring
P-High,15,unpredictable
P-High,16,irresponsible
P-High,17,self-centered
P-High,18,maverick
P-High,19,rash
P-High,20,unconventional
M-High,1,cunning
M-High,2,calculating
M-High,3,deceptive
M-High,4,manipulative
M-High,5,cerebral
M-High,6,persuasive
M-High,7,exploitative
M-High,8,ruthless
M-High,9,sly
M-High,10,self-serving
M-High,11,cunning
M-High,12,calculating
M-High,13,deceptive
M-High,14,manipulative
M-High,15,cerebral
M-High,16,persuasive
M-High,17,exploitative
M-High,18,ruthless
M-High,19,sly
M-High,20,self-serving
P-Low,1,compassionate
P-Low,2,reflective
P-Low,3,culturally
P-Low,4,empathic
P-Low,5,prudent
P-Low,6,conscientious
P-Low,7,sociable
P-Low,8,introspective
P-Low,9,holistic
P-Low,10,vulnerable
P-Low,11,compassionate
P-Low,12,reflective
P-Low,13,culturally
P-Low,14,empathic
P-Low,15,prudent
P-Low,16,conscientious
P-Low,17,sociable
P-Low,18,introspective
P-Low,19,holistic
P-Low,20,vulnerable
N-Low,1,unassuming
N-Low,2,modest
N-Low,3,unobtrusive
N-Low,4,low-key
N-Low,5,self-effacing
N-Low,6,unpretentious
N-Low,7,unassumingly
N-Low,8,discreet
N-Low,9,unselfish
N-Low,10,unassumingly
N-Low,11,unassuming
N-Low,12,modest
N-Low,13,unobtrusive
N-Low,14,low-key
N-Low,15,self-effacing
N-Low,16,unpretentious
N-Low,17,unassumingly
N-Low,18,discreet
N-Low,19,unselfish
N-Low,20,unassumingly
M-Low,1,integrity-driven
M-Low,2,sincere
M-Low,3,transparent
M-Low,4,principled
M-Low,5,authentic
M-Low,6,respectful
M-Low,7,trustworthy
M-Low,8,straightforward
M-Low,9,uncompromising
M-Low,10,vulnerable
M-Low,11,integrity-driven
M-Low,12,sincere
M-Low,13,transparent
M-Low,14,principled
M-Low,15,authentic
M-Low,16,respectful
M-Low,17,trustworthy
M-Low,18,straightforward
M-Low,19,uncompromising
M-Low,20,vulnerable
N-High,1,condescending
N-High,2,self-aggrandizing
N-High,3,arrogant
N-High,4,egotistical
N-High,5,grandiose
N-High,6,narcissistic
N-High,7,boastful
N-High,8,pretentious
N-High,9,superior
N-High,10,hubristic
N-High,11,condescending
N-High,12,self-aggrandizing
N-High,13,arrogant
N-High,14,egotistical
N-High,15,grandiose
N-High,16,narcissistic
N-High,17,boastful
N-High,18,pretentious
N-High,19,superior
N-High,20,hubristic
