EXT1,AGR1,CSN1,EST1,OPN1,EXT2,AGR2,CSN2,EST2,OPN2,EXT3,AGR3,CSN3,EST3,OPN3,EXT4,AGR4,CSN4,EST4,OPN4,EXT5,AGR5,CSN5,EST5,OPN5,EXT6,AGR6,CSN6,EST6,OPN6,EXT7,AGR7,CSN7,EST7,OPN7,EXT8,AGR8,CSN8,EST8,OPN8,OPN9,AGR9,CSN9,OPN10,EXT_Score,EST_Score,AGR_Score,CSN_Score,OPN_Score,EXT_Score_Comparison,AGR_Score_Comparison,CSN_Score_Comparison,EST_Score_Comparison,OPN_Score_Comparison
1,2,2,2,2,5,2,5,5,2,2,2,2,4,2,5,2,5,2,2,4,2,5,5,2,2,5,2,2,2,5,2,2,4,4,2,2,2,2,2,5,2,2,2,2.0,2.0,2.555555555555556,1.8888888888888888,1.9,low,low,low,low,low
2,2,2,2,2,5,2,4,5,2,2,5,2,4,2,4,2,5,2,2,5,2,2,5,2,2,4,2,4,2,2,2,2,5,4,2,4,2,2,2,5,2,2,2,2.25,2.125,2.111111111111111,2.333333333333333,1.9,low,low,low,low,low
1,5,2,5,2,5,2,5,5,2,2,2,2,4,2,5,5,4,2,4,4,4,5,5,2,2,5,2,5,2,5,2,2,5,5,2,2,2,2,3,4,2,5,4,2.0,2.625,2.7777777777777777,1.6666666666666667,2.4,low,low,low,low,low
2,4,2,5,2,5,2,4,5,2,2,2,2,5,2,5,1,4,2,4,5,2,2,5,4,2,4,2,4,2,5,2,2,5,4,1,2,2,2,2,4,2,2,4,1.875,2.625,2.333333333333333,2.4444444444444446,2.6,low,low,low,low,low
2,5,2,5,2,5,2,4,5,2,1,5,2,2,2,4,2,5,4,4,4,2,2,5,2,2,5,2,4,2,4,2,2,5,5,2,2,2,4,2,4,2,2,2,2.0,2.75,1.8888888888888888,2.333333333333333,2.1,low,low,low,low,low
2,2,2,1,2,5,2,4,5,2,2,2,2,4,2,4,2,5,2,2,5,2,2,5,2,2,2,2,5,2,4,2,2,5,5,1,5,2,2,2,4,2,2,4,1.875,2.125,2.555555555555556,2.333333333333333,2.1,low,low,low,low,low
1,2,2,4,2,5,2,4,5,2,1,5,2,2,2,4,5,5,2,2,4,2,2,5,2,2,5,2,4,2,2,2,2,4,4,2,2,2,1,2,4,2,2,2,2.125,2.125,2.555555555555556,2.333333333333333,2.0,low,low,low,low,low
1,2,2,4,2,5,2,4,5,2,1,4,2,5,2,5,2,4,2,2,5,2,2,5,2,2,2,2,2,2,5,2,2,5,4,2,5,2,2,3,5,2,2,2,1.75,2.25,2.333333333333333,2.4444444444444446,2.0,low,low,low,low,low
2,2,2,2,2,5,2,4,5,2,2,2,2,4,2,4,5,5,2,2,4,2,5,5,2,2,5,2,2,2,2,2,2,4,5,1,5,2,2,2,4,2,2,4,2.25,2.0,2.555555555555556,2.0,2.1,low,low,low,low,low
2,2,2,4,2,5,2,4,5,2,2,2,2,5,2,5,2,5,4,2,4,2,5,5,2,2,5,2,4,2,4,2,2,4,4,2,2,2,4,2,4,2,4,4,2.25,3.125,2.555555555555556,1.7777777777777777,2.2,low,low,low,high,low
2,2,2,2,2,5,2,4,5,2,2,2,2,4,2,5,2,5,2,2,5,2,5,5,2,2,5,2,4,4,4,2,2,4,5,1,4,2,2,3,4,2,5,4,2.0,2.25,2.333333333333333,1.6666666666666667,2.4,low,low,low,low,low
2,4,2,5,2,5,2,5,5,2,2,4,2,4,2,4,2,5,2,4,5,5,2,5,4,2,2,2,4,2,4,2,2,4,4,1,2,2,4,2,5,2,2,2,1.875,2.875,2.7777777777777777,2.2222222222222223,2.3,low,low,low,low,low
1,4,2,5,2,5,2,4,5,2,1,4,2,4,2,5,4,4,5,2,5,2,2,5,2,2,4,2,2,2,4,2,2,4,5,1,4,2,1,3,4,2,2,2,1.75,2.625,2.2222222222222223,2.4444444444444446,2.0,low,low,low,low,low
2,4,2,4,2,5,2,5,5,2,2,5,2,2,2,4,5,5,2,2,4,2,4,5,2,2,5,2,2,2,2,2,2,5,4,2,2,2,2,2,5,2,2,2,2.375,1.875,2.333333333333333,2.0,1.9,low,low,low,low,low
1,2,2,1,2,5,2,4,5,2,1,2,2,2,2,5,5,5,2,4,5,2,2,5,2,2,5,2,2,2,2,2,2,4,5,2,4,2,4,2,5,2,5,3,2.125,1.875,2.6666666666666665,2.0,2.1,low,low,low,low,low
2,4,2,4,2,5,2,4,5,2,2,2,2,4,2,5,2,5,1,2,5,2,2,5,4,2,5,2,4,2,4,2,2,4,4,2,5,2,4,2,4,2,2,2,2.125,2.625,2.0,2.333333333333333,2.2,low,low,low,low,low
