EXT1,AGR1,CSN1,EST1,OPN1,EXT2,AGR2,CSN2,EST2,OPN2,EXT3,AGR3,CSN3,EST3,OPN3,EXT4,AGR4,CSN4,EST4,OPN4,EXT5,AGR5,CSN5,EST5,OPN5,EXT6,AGR6,CSN6,EST6,OPN6,EXT7,AGR7,CSN7,EST7,OPN7,EXT8,AGR8,CSN8,EST8,OPN8,OPN9,AGR9,CSN9,OPN10,EXT_Score,EST_Score,AGR_Score,CSN_Score,OPN_Score
5,5,2,1,2,1,2,4,5,2,5,5,2,4,2,5,2,4,1,2,5,2,2,5,2,5,2,2,5,2,1,2,2,5,2,5,5,2,5,2,4,2,2,2,4.5,2.375,1.8888888888888888,2.4444444444444446,2.2
5,5,2,5,5,5,2,4,5,4,5,5,2,2,5,5,2,1,1,5,5,5,1,5,5,5,5,5,4,4,5,2,4,5,2,5,5,4,1,5,5,2,2,5,3.5,2.0,1.8888888888888888,3.6666666666666665,4.3
5,5,2,1,4,2,2,4,5,2,5,2,2,2,2,5,2,2,1,5,2,2,2,5,5,5,2,4,4,5,5,2,2,5,2,5,2,2,2,2,5,2,2,2,4.25,1.625,2.5555555555555554,2.888888888888889,3.2
5,5,2,1,2,2,2,4,4,2,5,5,2,5,2,5,2,2,1,4,2,2,2,5,2,5,5,2,4,2,1,2,2,5,2,5,5,2,2,2,2,2,2,2,4.75,2.125,1.5555555555555556,2.6666666666666665,2.6
5,5,2,1,2,2,2,4,4,2,5,5,2,3,5,5,2,4,2,4,5,2,4,4,4,5,5,2,2,4,1,2,2,4,2,5,4,2,1,2,5,2,2,2,4.375,1.875,1.6666666666666667,2.2222222222222223,3.0
5,5,4,5,2,1,2,4,5,5,5,5,2,5,2,5,2,2,1,2,2,2,5,5,5,5,2,5,5,1,1,2,2,4,2,5,5,5,1,2,5,2,1,1,4.875,2.625,1.8888888888888888,3.3333333333333335,2.5
5,5,2,1,4,1,2,5,5,2,5,5,2,5,2,5,2,4,5,2,1,1,2,5,4,5,5,2,2,4,5,2,2,5,2,5,5,2,5,2,4,2,4,4,4.5,2.625,1.4444444444444444,2.111111111111111,3.0
5,5,2,1,2,2,2,5,5,4,5,5,2,4,2,5,2,2,1,2,1,2,4,5,4,5,1,2,3,4,5,2,2,5,2,5,5,2,1,2,5,2,2,2,4.375,1.625,2.0,2.3333333333333335,2.7
5,5,4,1,2,2,2,5,5,2,5,5,2,5,2,5,2,5,1,5,1,5,1,5,4,5,5,5,5,4,5,2,2,5,2,5,5,2,1,2,2,2,1,4,4.375,2.0,1.8888888888888888,3.0,3.3
5,5,2,1,2,5,2,5,5,4,5,5,2,4,2,5,4,2,1,3,4,1,4,5,2,5,2,5,5,4,1,2,2,5,2,5,4,4,4,2,5,2,2,2,4.125,2.25,2.111111111111111,2.888888888888889,2.6
5,5,2,1,2,1,2,4,5,2,5,5,2,3,2,5,1,2,1,4,1,1,2,5,2,5,4,2,5,2,1,2,2,5,2,5,2,2,5,2,4,2,2,2,5.0,2.25,1.7777777777777777,2.6666666666666665,2.4
5,5,2,1,2,2,2,4,5,2,5,5,2,5,2,5,2,4,1,2,5,2,2,5,2,5,5,2,2,2,5,2,2,5,2,5,4,2,1,2,5,2,2,2,3.875,1.625,1.6666666666666667,2.4444444444444446,2.1
5,4,2,1,2,5,2,4,4,4,5,5,2,3,2,5,1,5,1,4,5,2,2,5,2,5,2,2,1,2,5,2,2,4,2,5,5,2,5,2,4,2,2,2,3.5,2.0,1.8888888888888888,2.3333333333333335,2.6
5,5,2,1,2,5,2,4,5,2,5,5,2,5,2,5,2,4,1,2,1,2,4,5,4,5,5,2,2,4,1,2,2,5,2,5,4,2,5,2,4,2,2,2,4.5,2.125,1.6666666666666667,2.2222222222222223,2.6
5,2,2,1,2,5,2,4,5,2,5,2,2,5,2,5,2,4,2,5,2,2,2,5,2,5,5,2,5,4,1,2,2,4,2,5,5,2,1,2,4,2,2,2,4.375,2.25,2.2222222222222223,2.4444444444444446,2.7
5,2,2,1,2,2,2,4,5,4,5,2,2,5,2,5,1,5,1,4,2,2,2,5,2,5,5,2,3,2,1,2,2,5,2,5,4,2,2,2,5,2,2,2,4.75,1.875,2.2222222222222223,2.3333333333333335,2.5
5,4,2,1,2,2,2,5,5,2,4,5,2,5,2,5,5,2,1,4,2,4,5,5,2,5,5,2,4,5,1,2,2,5,2,5,5,2,1,2,4,2,2,4,4.625,1.875,2.2222222222222223,2.2222222222222223,2.9
5,5,2,1,2,5,2,5,5,4,5,2,2,5,2,5,5,4,1,3,1,4,4,5,2,5,5,2,5,5,2,2,2,5,2,5,5,2,5,4,4,2,3,4,4.375,2.5,2.4444444444444446,2.0,3.2
5,4,2,1,2,5,2,2,5,5,5,5,2,5,2,5,1,2,1,5,5,2,1,5,4,5,2,2,5,5,5,2,2,5,2,5,4,2,2,2,5,2,2,4,3.5,2.125,2.0,3.0,3.4
5,5,2,1,2,2,2,5,4,2,5,5,2,5,2,5,1,2,1,2,2,2,2,5,4,5,2,2,3,2,1,1,2,4,2,5,5,2,1,2,5,2,2,2,4.75,2.0,1.6666666666666667,2.5555555555555554,2.3
