EXT1,AGR1,CSN1,EST1,OPN1,EXT2,AGR2,CSN2,EST2,OPN2,EXT3,AGR3,CSN3,EST3,OPN3,EXT4,AGR4,CSN4,EST4,OPN4,EXT5,AGR5,CSN5,EST5,OPN5,EXT6,AGR6,CSN6,EST6,OPN6,EXT7,AGR7,CSN7,EST7,OPN7,EXT8,AGR8,CSN8,EST8,OPN8,OPN9,AGR9,CSN9,OPN10,EXT_Score,EST_Score,AGR_Score,CSN_Score,OPN_Score
2,2,4,2,5,5,2,2,2,5,2,2,4,5,5,2,1,4,4,5,5,2,1,2,5,4,5,4,5,5,4,2,4,2,2,2,5,4,5,5,4,2,5,5,2.0,4.125,2.111111111111111,3.5555555555555554,4.6
2,2,5,2,5,5,2,2,2,4,2,2,5,5,5,2,1,1,5,5,2,1,1,2,5,2,5,5,5,5,2,2,4,2,2,2,2,4,5,5,4,2,3,5,2.375,4.25,2.3333333333333335,4.444444444444445,4.5
2,5,4,5,5,4,2,4,2,5,2,2,4,5,5,1,2,4,5,5,5,2,1,2,5,2,5,5,5,5,4,2,4,2,4,1,4,5,5,5,4,2,4,5,1.625,4.625,2.0,3.6666666666666665,4.4
2,2,4,4,5,5,4,4,2,5,2,1,4,5,5,2,2,4,5,5,5,2,4,2,5,2,5,4,5,5,5,2,4,2,4,2,1,4,4,5,4,2,2,4,1.625,4.375,3.0,3.3333333333333335,4.3
2,2,4,5,4,5,2,5,2,4,2,2,4,5,5,2,2,4,5,5,5,2,1,2,5,2,4,5,5,5,4,2,4,2,4,2,5,4,5,5,4,2,4,4,1.75,4.625,2.3333333333333335,3.4444444444444446,4.1
2,2,4,4,5,4,2,4,2,5,2,1,4,5,5,2,2,4,5,5,4,2,1,2,5,2,5,5,5,5,5,2,4,2,2,1,5,4,5,5,4,2,2,5,1.75,4.5,2.3333333333333335,3.7777777777777777,4.6
4,2,4,5,5,4,2,2,2,5,2,2,4,5,5,2,2,4,5,5,4,2,4,2,5,4,4,4,5,5,5,1,4,2,2,2,5,5,2,5,4,2,2,5,2.375,4.25,2.2222222222222223,3.6666666666666665,4.6
1,2,4,2,5,4,2,2,2,5,1,2,4,5,5,2,1,4,4,5,5,2,1,2,5,2,2,4,5,5,5,2,4,2,2,2,4,4,2,5,5,2,4,5,1.5,3.75,2.5555555555555554,3.6666666666666665,4.5
2,2,4,5,5,5,2,5,2,5,5,5,5,4,5,4,2,4,2,5,5,2,5,2,5,2,2,5,5,5,5,1,4,2,2,2,4,5,5,5,4,2,4,5,2.25,4.125,2.2222222222222223,3.2222222222222223,4.6
2,2,4,5,5,5,2,4,2,5,2,2,5,5,5,2,1,4,2,5,5,2,4,2,5,2,5,4,5,4,5,2,5,2,1,2,5,4,5,5,4,2,2,5,1.625,4.25,2.111111111111111,3.5555555555555554,4.6
1,2,4,5,5,4,2,4,2,5,1,2,4,5,5,2,2,4,4,5,4,2,1,2,5,2,5,4,5,5,5,2,4,2,2,2,4,4,4,5,4,2,3,5,1.625,4.375,2.3333333333333335,3.5555555555555554,4.6
2,1,4,2,5,5,2,4,2,5,2,1,4,5,5,2,2,4,5,5,5,2,5,2,5,5,5,4,5,5,2,2,4,2,1,2,5,4,2,5,5,1,2,5,2.375,3.875,2.3333333333333335,3.2222222222222223,4.6
1,2,4,2,5,4,2,4,2,4,1,5,4,5,5,1,2,4,5,5,5,2,5,2,5,2,5,4,5,4,5,2,4,2,2,2,4,4,5,5,5,2,2,5,1.375,4.25,2.0,3.2222222222222223,4.3
2,2,5,2,4,5,2,2,2,4,2,2,5,5,5,4,1,4,5,5,4,1,4,2,5,4,5,5,5,5,5,2,4,2,5,1,4,4,5,5,4,2,5,5,2.125,4.25,2.111111111111111,3.5555555555555554,4.1
2,2,4,5,5,4,4,4,2,5,2,5,4,4,5,2,2,4,5,5,4,2,5,2,5,2,4,4,5,5,5,2,4,2,4,2,2,4,5,5,5,4,4,5,1.875,4.5,2.7777777777777777,3.0,4.3
2,5,4,5,5,5,2,4,2,5,2,5,4,5,5,2,1,4,5,5,4,2,1,2,5,4,5,4,5,5,5,2,4,2,1,2,5,4,2,5,4,2,3,5,2.0,4.25,1.4444444444444444,3.5555555555555554,4.7
1,2,4,2,5,5,2,4,2,5,1,2,4,5,5,2,2,4,5,5,5,2,4,2,5,2,5,4,4,5,5,2,4,2,2,1,2,4,5,5,4,2,5,5,1.25,4.125,2.5555555555555554,3.0,4.6
2,5,4,2,5,5,2,4,2,5,5,2,4,5,5,2,1,4,5,5,5,2,4,2,5,4,5,4,5,5,5,2,4,2,2,1,4,4,5,5,5,2,2,5,2.125,4.25,1.8888888888888888,3.3333333333333335,4.5
2,2,4,5,5,4,2,4,2,5,2,2,5,5,5,2,2,4,2,5,2,2,4,2,5,2,5,5,5,5,2,2,4,2,2,2,5,4,5,5,5,2,2,4,2.5,4.25,2.2222222222222223,3.5555555555555554,4.4
4,2,4,5,5,4,2,2,2,5,2,2,5,5,5,2,1,5,5,5,2,2,1,2,5,2,5,5,5,5,2,2,2,2,1,2,5,5,2,5,5,2,4,4,2.75,4.25,2.111111111111111,3.6666666666666665,4.5
