EXT1,AGR1,CSN1,EST1,OPN1,EXT2,AGR2,CSN2,EST2,OPN2,EXT3,AGR3,CSN3,EST3,OPN3,EXT4,AGR4,CSN4,EST4,OPN4,EXT5,AGR5,CSN5,EST5,OPN5,EXT6,AGR6,CSN6,EST6,OPN6,EXT7,AGR7,CSN7,EST7,OPN7,EXT8,AGR8,CSN8,EST8,OPN8,OPN9,AGR9,CSN9,OPN10,EXT_Score,EST_Score,AGR_Score,CSN_Score,OPN_Score,EXT_Score_Comparison,AGR_Score_Comparison,CSN_Score_Comparison,EST_Score_Comparison,OPN_Score_Comparison
5,2,4,1,5,2,4,4,4,5,5,2,5,2,3,5,4,2,2,5,2,4,5,3,5,5,2,5,2,4,1,2,4,5,2,5,2,4,1,4,5,2,4,5,4.75,1.75,3.555555555555556,3.4444444444444446,4.1,high,low,low,low,high
5,2,4,1,5,1,2,2,5,5,5,2,4,2,4,5,2,4,1,5,1,2,1,5,5,5,1,5,2,4,1,2,4,5,2,5,2,5,1,4,4,2,1,5,5.0,1.25,3.0,4.222222222222222,4.3,high,low,high,low,high
5,2,4,1,5,2,2,5,5,5,5,1,4,2,4,5,2,4,1,5,5,2,1,5,5,5,2,5,2,5,5,2,4,5,2,5,2,5,2,3,5,4,2,5,3.875,1.375,3.2222222222222223,3.7777777777777777,4.2,high,low,high,low,high
4,2,4,1,5,4,2,4,5,5,5,1,4,2,5,5,2,4,2,5,2,2,5,5,4,4,2,5,2,4,5,2,4,5,2,5,4,5,2,4,5,2,4,4,3.75,1.5,2.7777777777777777,3.2222222222222223,4.1,high,low,low,low,high
5,2,4,1,5,2,2,4,5,5,5,1,5,2,3,5,2,5,1,4,2,2,1,5,4,5,1,5,2,4,1,2,4,5,1,5,4,4,1,4,4,2,4,5,4.75,1.25,2.888888888888889,3.555555555555556,4.1,high,low,low,low,high
5,2,4,1,5,1,2,2,5,5,5,2,4,2,5,5,2,4,1,5,1,2,1,5,5,5,2,5,5,5,1,2,5,4,1,5,2,4,1,4,4,2,1,5,5.0,1.75,2.888888888888889,4.222222222222222,4.6,high,low,high,low,high
5,2,4,1,5,1,2,5,5,5,5,2,4,5,5,5,2,4,1,5,2,2,4,5,4,5,2,4,2,5,1,2,4,5,2,5,4,4,2,3,5,2,4,5,4.875,1.75,2.6666666666666665,3.0,4.2,high,low,low,low,high
5,2,4,1,5,2,2,4,5,5,5,2,4,2,5,5,2,4,1,5,2,2,5,5,5,5,2,5,2,5,1,2,4,5,1,5,2,4,2,3,5,2,1,5,4.75,1.375,2.888888888888889,3.4444444444444446,4.4,high,low,low,low,high
5,2,4,1,5,1,2,4,5,5,5,2,4,2,4,5,2,4,1,5,2,2,1,5,5,5,2,4,5,5,1,2,4,4,2,5,2,5,4,4,4,2,4,4,4.875,2.125,2.888888888888889,3.555555555555556,4.3,high,low,low,low,high
5,2,5,1,5,5,2,2,5,5,5,1,5,2,4,5,2,4,1,5,1,2,1,5,5,5,2,4,4,5,1,2,4,5,2,5,2,5,1,4,5,2,2,5,4.5,1.5,3.0,4.222222222222222,4.3,high,low,high,low,high
5,2,4,1,5,1,2,2,4,5,5,2,4,2,5,5,2,4,1,5,5,2,1,5,5,5,2,4,1,5,1,2,4,4,1,5,2,5,1,4,5,2,5,5,4.5,1.375,2.888888888888889,3.6666666666666665,4.5,high,low,high,low,high
5,2,4,1,5,1,2,2,5,5,5,2,5,2,5,5,2,4,1,5,1,5,1,5,5,5,2,5,2,5,1,2,4,5,1,5,2,5,1,4,4,2,1,5,5.0,1.25,3.2222222222222223,4.333333333333333,4.6,high,low,high,low,high
5,2,5,1,5,1,2,4,5,5,5,2,4,2,5,5,2,4,1,5,5,2,1,5,5,5,2,5,4,5,1,2,5,5,1,5,2,5,1,3,5,2,2,5,4.5,1.5,2.888888888888889,4.111111111111111,4.4,high,low,high,low,high
5,2,4,1,5,1,2,4,4,5,5,2,4,2,5,5,2,4,1,5,2,2,1,5,5,5,1,5,1,4,1,2,4,5,2,5,2,5,1,3,4,2,1,4,4.875,1.25,3.0,4.0,4.2,high,low,high,low,high
5,5,4,1,4,5,5,4,5,5,5,1,4,5,5,5,2,4,2,5,2,4,1,5,5,5,2,5,2,5,5,4,4,5,2,5,4,5,4,4,5,4,2,4,3.875,2.125,3.4444444444444446,3.888888888888889,4.2,high,low,high,low,high
5,5,4,1,5,1,2,2,5,5,5,1,5,2,4,5,1,4,1,4,2,2,5,5,4,5,1,5,2,4,5,2,4,5,2,5,2,5,1,4,5,2,1,5,4.375,1.25,2.6666666666666665,3.888888888888889,4.0,high,low,high,low,high
4,2,4,1,5,2,2,4,5,5,4,1,4,5,4,5,2,4,1,4,2,2,5,5,4,5,2,4,4,5,1,2,4,5,4,5,4,5,1,4,5,2,2,5,4.5,1.875,2.7777777777777777,3.333333333333333,3.9,high,low,low,low,high
4,2,5,1,5,2,2,2,5,5,5,1,5,5,5,5,2,4,1,5,2,2,5,5,5,5,4,5,2,4,2,2,5,5,2,2,2,4,1,4,5,2,1,4,4.125,1.625,2.7777777777777777,4.0,4.2,high,low,high,low,high
5,2,4,1,5,2,2,2,5,5,5,2,4,3,3,5,2,4,1,5,5,2,1,5,4,5,2,4,2,5,1,2,4,5,1,5,2,4,1,4,5,2,2,4,4.375,1.375,2.888888888888889,3.888888888888889,4.1,high,low,high,low,high
5,2,5,5,5,2,2,4,5,5,5,2,5,2,5,5,1,4,1,5,2,2,1,5,5,5,5,5,5,5,1,2,5,5,2,2,2,5,1,4,4,2,4,5,4.375,2.125,2.4444444444444446,4.0,4.5,high,low,high,low,high
