EXT1,AGR1,CSN1,EST1,OPN1,EXT2,AGR2,CSN2,EST2,OPN2,EXT3,AGR3,CSN3,EST3,OPN3,EXT4,AGR4,CSN4,EST4,OPN4,EXT5,AGR5,CSN5,EST5,OPN5,EXT6,AGR6,CSN6,EST6,OPN6,EXT7,AGR7,CSN7,EST7,OPN7,EXT8,AGR8,CSN8,EST8,OPN8,OPN9,AGR9,CSN9,OPN10,EXT_Score,EST_Score,AGR_Score,CSN_Score,OPN_Score
5,2,5,2,5,1,2,2,2,5,5,2,5,2,5,5,2,1,2,5,5,2,5,2,5,5,5,5,5,5,1,2,5,2,1,5,5,5,2,5,4,2,5,5,4.5,3.125,2.2222222222222223,4.0,4.7
5,2,5,2,5,2,2,2,2,5,5,2,5,5,5,5,2,1,2,5,2,2,1,2,5,5,2,5,5,5,1,2,5,2,1,5,5,5,2,5,4,2,2,5,4.75,3.5,2.5555555555555554,4.777777777777778,4.7
5,2,5,2,5,1,2,2,2,5,5,2,5,5,5,5,2,1,2,5,5,2,5,2,5,5,5,5,5,5,1,2,5,2,1,5,5,5,2,5,4,2,2,5,4.5,3.5,2.2222222222222223,4.333333333333333,4.7
5,5,5,1,5,1,2,2,2,5,5,2,5,5,5,5,2,1,2,5,5,2,5,2,5,5,2,5,5,5,1,2,5,2,2,5,5,5,2,5,5,2,5,5,4.5,3.375,2.2222222222222223,4.0,4.5
5,5,5,1,5,1,2,2,2,5,5,5,5,2,5,5,2,1,2,5,5,2,5,2,5,5,2,5,2,5,1,2,5,2,1,5,5,5,2,5,5,2,5,5,4.5,2.625,1.8888888888888888,4.0,4.6
5,5,5,1,5,2,2,2,2,5,5,5,5,5,5,5,2,1,2,5,1,2,5,2,5,5,2,5,2,5,1,2,5,2,2,5,5,5,2,5,5,2,2,5,4.875,3.0,1.8888888888888888,4.333333333333333,4.5
5,2,5,2,5,2,2,2,2,5,5,5,5,5,5,5,2,1,2,5,5,2,5,2,5,5,2,5,2,5,1,2,5,2,1,5,5,5,2,5,4,2,2,5,4.375,3.125,2.2222222222222223,4.333333333333333,4.7
5,2,5,1,5,2,2,2,2,5,5,2,5,2,5,5,2,2,2,5,5,2,5,2,5,5,5,5,5,5,1,2,5,2,2,5,5,5,2,5,5,2,5,5,4.375,3.0,2.2222222222222223,3.888888888888889,4.5
5,5,5,1,5,2,2,2,2,5,5,2,5,5,5,5,2,2,2,5,5,2,5,2,5,5,5,5,5,5,1,2,5,2,1,5,4,5,2,5,4,2,5,5,4.375,3.375,2.0,3.888888888888889,4.7
5,5,5,1,5,2,2,2,2,5,5,5,5,5,5,5,2,1,2,5,5,2,5,2,5,5,5,5,5,5,1,2,5,2,2,5,5,5,2,5,4,2,2,5,4.375,3.375,1.5555555555555556,4.333333333333333,4.6
5,5,5,1,5,2,2,2,2,5,5,5,5,2,5,5,2,1,2,5,2,2,5,2,5,5,5,5,5,5,1,2,5,2,2,5,5,5,2,5,4,2,2,5,4.75,3.0,1.5555555555555556,4.333333333333333,4.6
5,2,5,2,5,1,2,2,2,5,5,5,5,2,5,5,2,1,2,5,5,2,5,2,5,5,2,5,5,5,1,2,5,2,1,5,5,5,2,5,4,2,2,5,4.5,3.125,2.2222222222222223,4.333333333333333,4.7
5,2,5,1,5,2,2,2,2,5,5,5,5,5,5,5,2,2,2,5,5,2,5,2,5,5,2,5,5,5,2,2,5,2,1,5,5,5,2,5,4,2,2,5,4.25,3.375,2.2222222222222223,4.222222222222222,4.7
5,5,5,2,5,1,2,2,2,5,5,5,5,5,5,5,2,1,2,5,1,2,1,2,5,5,2,5,5,5,1,2,5,2,1,5,5,5,2,5,5,2,2,5,5.0,3.5,1.8888888888888888,4.777777777777778,4.6
5,5,5,1,5,1,2,2,2,5,5,5,5,2,5,5,2,1,2,5,5,2,5,2,5,5,5,5,2,5,1,2,5,2,1,5,5,5,2,5,5,2,4,5,4.5,2.625,1.5555555555555556,4.111111111111111,4.6
5,2,5,2,5,1,2,2,2,5,5,5,5,2,5,5,2,1,2,5,5,2,1,2,5,5,5,5,5,5,1,2,5,2,2,5,5,5,2,5,4,2,4,5,4.5,3.125,1.8888888888888888,4.555555555555555,4.6
5,5,5,2,5,1,2,2,2,5,5,2,5,2,5,5,2,1,2,5,2,2,5,2,5,5,5,5,5,5,2,2,5,2,1,5,5,5,2,5,4,2,5,5,4.75,3.125,1.8888888888888888,4.0,4.7
5,5,5,1,5,1,2,2,2,5,5,5,5,2,5,5,2,1,2,5,5,2,5,2,5,5,5,5,2,5,1,2,5,2,2,5,5,5,2,5,5,2,2,5,4.5,2.625,1.5555555555555556,4.333333333333333,4.5
5,2,5,1,5,2,2,2,2,5,5,5,5,5,5,5,2,1,2,5,5,2,1,2,5,5,2,5,5,5,1,2,5,2,1,5,5,5,2,5,4,2,5,5,4.375,3.375,2.2222222222222223,4.444444444444445,4.7
5,5,5,2,5,2,2,2,2,5,5,5,5,5,5,5,2,1,2,5,5,2,5,2,5,5,2,5,2,5,1,2,5,2,1,5,5,5,2,5,5,2,2,5,4.375,3.125,1.8888888888888888,4.333333333333333,4.6
