MAC1,NAR1,PSY1,MAC2,NAR2,PSY2,MAC3,NAR3,PSY3,MAC4,NAR4,PSY4,MAC5,NAR5,PSY5,MAC6,NAR6,PSY6,MAC7,NAR7,PSY7,MAC8,NAR8,PSY8,MAC9,NAR9,PSY9,MAC_Score,NAR_Score,PSY_Score,MAC_Score_Comparison,NAR_Score_Comparison,PSY_Score_Comparison
4,5,1,1,5,5,5,5,1,2,5,4,5,5,1,4,4,1,4,5,4,5,1,1,2,5,5,3.555555555555556,4.222222222222222,1.8888888888888888,high,high,low
4,5,1,1,1,4,2,5,1,5,5,5,5,5,1,5,5,5,2,5,4,1,2,1,5,5,1,3.333333333333333,4.444444444444445,2.111111111111111,high,high,high
5,5,1,1,1,3,5,5,1,1,5,5,5,5,1,3,5,5,4,5,1,1,2,5,1,5,1,2.888888888888889,4.444444444444445,3.0,low,high,high
3,5,1,1,1,5,2,5,1,4,5,4,5,5,1,5,4,5,5,5,5,1,4,1,5,5,1,3.4444444444444446,4.333333333333333,1.7777777777777777,high,high,low
3,5,1,1,2,3,5,5,1,2,5,5,5,5,1,4,4,5,1,5,4,5,5,5,2,5,1,3.111111111111111,4.111111111111111,2.6666666666666665,high,high,high
4,4,1,1,1,3,5,5,1,5,2,4,5,5,1,4,5,5,1,5,4,1,5,1,1,5,1,3.0,3.6666666666666665,2.111111111111111,high,high,high
5,5,1,1,5,4,2,5,1,1,5,5,5,5,1,5,4,1,1,5,1,1,5,1,2,5,5,2.555555555555556,3.7777777777777777,2.4444444444444446,low,high,high
5,5,1,1,2,3,5,5,1,5,5,5,2,5,1,5,5,2,5,5,4,1,5,5,2,5,1,3.4444444444444446,4.0,2.333333333333333,high,high,high
4,5,1,1,1,4,5,5,1,1,5,3,1,5,5,4,4,2,5,5,4,1,4,1,2,5,1,2.6666666666666665,4.333333333333333,2.0,low,high,low
5,5,1,1,1,4,1,5,1,2,2,4,5,5,1,5,4,2,1,5,5,5,1,5,2,5,1,3.0,4.333333333333333,2.0,high,high,low
5,5,1,1,1,4,5,5,1,2,5,5,5,5,1,5,5,5,1,5,5,1,5,1,1,5,1,2.888888888888889,4.111111111111111,2.0,low,high,low
5,5,1,1,1,3,5,5,1,1,2,4,2,5,4,4,5,5,4,5,5,5,1,1,1,5,1,3.111111111111111,4.222222222222222,2.333333333333333,high,high,high
5,4,1,1,1,5,2,5,1,1,5,4,1,5,1,5,4,5,1,5,4,1,4,1,2,5,1,2.111111111111111,4.222222222222222,1.8888888888888888,low,high,low
5,5,1,1,1,5,2,5,1,2,5,5,5,5,1,5,5,5,1,5,4,1,5,1,5,5,1,3.0,4.111111111111111,2.0,high,high,low
4,5,1,1,2,4,1,5,1,4,5,5,5,5,1,5,4,5,4,5,5,1,2,5,1,5,1,2.888888888888889,4.444444444444445,2.4444444444444446,low,high,high
5,5,1,1,1,3,2,5,1,2,2,5,5,5,1,5,5,5,5,5,1,1,4,5,5,5,1,3.4444444444444446,3.888888888888889,3.0,high,high,high
5,5,1,1,1,4,1,5,1,1,5,5,5,5,1,5,4,2,1,5,2,5,5,5,2,5,1,2.888888888888889,4.222222222222222,2.4444444444444446,low,high,high
4,5,1,1,5,4,5,2,1,2,5,4,5,5,1,5,4,5,5,5,5,5,5,1,5,5,1,4.111111111111111,3.4444444444444446,1.8888888888888888,high,high,low
3,5,1,1,1,5,1,5,1,5,5,5,1,5,1,5,4,5,1,5,4,1,4,1,1,5,1,2.111111111111111,4.333333333333333,2.0,low,high,low
5,4,1,1,5,5,2,5,1,1,5,5,5,5,1,5,4,5,2,5,4,5,4,1,2,5,1,3.111111111111111,3.7777777777777777,2.0,high,high,low
