MAC1,MAC2,MAC3,MAC4,MAC5,MAC6,MAC7,MAC8,MAC9,NAR1,NAR2,NAR3,NAR4,NAR5,NAR6,NAR7,NAR8,NAR9,PSY1,PSY2,PSY3,PSY4,PSY5,PSY6,PSY7,PSY8,PSY9,MAC_Score,NAR_Score,PSY_Score,MAC_Score_Comparison,NAR_Score_Comparison,PSY_Score_Comparison
5,1,5,2,2,2,5,4,2,5,5,5,5,5,5,5,2,5,1,5,1,2,2,5,2,5,2,3.111111111111111,4.0,2.555555555555556,high,high,high
4,1,5,2,5,5,5,5,1,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,3.6666666666666665,4.111111111111111,4.111111111111111,high,high,high
5,1,2,1,1,5,1,5,1,5,1,5,5,5,5,5,2,5,1,2,1,5,5,5,1,1,1,2.4444444444444446,4.444444444444445,3.111111111111111,low,high,high
1,1,2,1,1,1,1,2,1,5,2,5,5,5,2,5,2,5,1,1,1,2,2,2,5,1,1,1.2222222222222223,4.666666666666667,1.7777777777777777,low,high,low
5,1,5,1,1,2,5,2,1,5,1,5,5,5,5,5,5,5,1,2,1,5,2,5,5,5,2,2.555555555555556,4.111111111111111,2.888888888888889,low,high,high
5,2,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,4.222222222222222,3.6666666666666665,3.6666666666666665,high,high,high
5,1,5,1,1,1,1,5,1,5,5,5,5,5,5,5,2,5,1,2,1,5,1,5,1,5,2,2.333333333333333,4.0,3.2222222222222223,low,high,high
1,5,5,2,2,5,4,2,5,5,2,5,5,5,2,5,2,5,1,2,1,2,2,5,5,5,5,3.4444444444444446,4.666666666666667,2.888888888888889,high,high,high
2,1,5,2,1,5,4,5,1,5,2,5,5,5,5,5,2,5,1,5,1,5,1,5,5,5,1,2.888888888888889,4.333333333333333,2.333333333333333,low,high,high
2,1,2,2,2,2,4,5,2,5,5,5,5,5,5,5,5,5,1,5,1,5,5,5,2,5,5,2.4444444444444446,3.6666666666666665,3.555555555555556,low,high,high
2,1,5,1,1,2,1,2,1,5,2,5,5,5,2,5,2,5,1,2,1,2,2,5,5,5,1,1.7777777777777777,4.666666666666667,2.4444444444444446,low,high,high
2,2,5,2,5,5,5,5,2,5,5,5,5,5,5,5,5,5,5,2,5,5,2,5,2,5,5,3.6666666666666665,3.6666666666666665,4.444444444444445,high,high,high
2,2,5,5,5,5,5,5,2,5,5,5,5,5,5,5,5,5,5,2,5,5,5,5,5,5,5,4.0,3.6666666666666665,4.444444444444445,high,high,high
5,1,5,5,2,5,5,5,1,5,5,5,5,5,5,5,5,5,1,2,1,5,5,5,5,5,2,3.7777777777777777,3.6666666666666665,3.2222222222222223,high,high,high
5,1,1,1,1,1,1,2,1,5,1,5,5,5,5,5,1,5,1,1,1,2,2,5,1,1,1,1.5555555555555556,4.555555555555555,2.555555555555556,low,high,high
5,1,5,2,2,5,5,5,1,5,2,5,5,5,5,5,5,5,1,2,1,5,5,5,5,5,5,3.4444444444444446,4.0,3.555555555555556,high,high,high
2,2,5,2,2,2,2,5,2,5,1,5,5,5,5,5,1,5,1,2,2,5,4,5,5,5,2,2.6666666666666665,4.555555555555555,3.2222222222222223,low,high,high
5,2,5,2,1,5,5,5,4,5,5,5,5,5,5,5,5,5,1,2,1,2,2,5,2,5,5,3.7777777777777777,3.6666666666666665,3.2222222222222223,high,high,high
2,1,5,2,2,2,5,5,2,5,1,5,5,5,5,5,5,5,2,2,5,5,4,5,5,5,2,2.888888888888889,4.111111111111111,3.6666666666666665,low,high,high
5,1,2,1,1,2,2,4,1,5,2,5,5,5,5,5,5,5,1,2,1,5,4,5,1,1,2,2.111111111111111,4.0,3.111111111111111,low,high,high
