MAC1,NAR1,PSY1,MAC2,NAR2,PSY2,MAC3,NAR3,PSY3,MAC4,NAR4,PSY4,MAC5,NAR5,PSY5,MAC6,NAR6,PSY6,MAC7,NAR7,PSY7,MAC8,NAR8,PSY8,MAC9,NAR9,PSY9,MAC_Score,NAR_Score,PSY_Score
4,3,1,1,4,2,2,1,1,2,1,1,1,4,1,4,2,5,2,5,4,1,4,1,1,2,1,2.0,2.6666666666666665,1.8888888888888888
5,2,1,1,4,4,2,1,1,3,2,2,1,4,1,4,4,5,1,2,3,1,4,1,1,2,1,2.111111111111111,2.111111111111111,1.8888888888888888
4,1,1,1,4,5,2,1,1,2,2,1,1,4,1,4,5,1,1,5,5,1,4,1,1,2,1,1.8888888888888888,2.2222222222222223,1.0
5,1,1,1,5,5,2,5,1,3,1,5,1,2,1,5,5,5,1,5,5,1,4,1,1,2,1,2.2222222222222223,2.2222222222222223,1.8888888888888888
5,1,1,1,3,5,1,1,1,2,1,2,1,5,1,4,4,1,2,5,5,1,5,1,1,2,1,2.0,2.3333333333333335,1.1111111111111112
5,2,1,1,5,4,2,1,1,2,2,1,1,2,1,3,5,1,2,5,4,1,4,1,2,2,1,2.111111111111111,2.0,1.2222222222222223
5,2,1,1,4,4,2,1,1,4,2,1,1,4,1,4,5,1,1,5,2,1,4,1,1,2,1,2.2222222222222223,2.3333333333333335,1.4444444444444444
4,3,1,1,4,4,1,1,1,2,1,1,1,2,1,4,5,5,1,5,5,1,4,1,1,1,1,1.7777777777777777,2.0,1.5555555555555556
5,2,1,1,4,4,1,1,1,4,1,5,1,3,1,4,2,1,1,5,4,1,4,1,1,2,1,2.111111111111111,2.4444444444444446,1.6666666666666667
5,1,1,1,5,4,5,2,1,4,1,2,1,4,1,5,5,5,2,5,5,1,4,1,2,2,1,2.888888888888889,2.111111111111111,1.6666666666666667
5,2,1,1,5,2,2,2,1,4,1,1,2,5,1,3,5,5,2,5,4,1,4,1,2,2,1,2.4444444444444446,2.3333333333333335,1.8888888888888888
5,3,1,1,4,4,1,1,1,4,1,5,1,5,1,4,4,5,1,5,5,1,4,1,2,2,1,2.2222222222222223,2.5555555555555554,2.0
4,2,1,1,4,4,2,1,1,4,1,2,1,2,1,4,2,5,1,2,4,1,4,1,2,2,1,2.2222222222222223,2.0,1.7777777777777777
5,2,1,1,4,4,2,1,1,2,1,2,2,4,1,4,5,2,1,2,4,1,5,1,1,1,1,2.111111111111111,1.6666666666666667,1.4444444444444444
5,5,1,1,4,5,2,5,1,4,2,2,1,4,1,5,4,1,1,5,5,1,4,1,1,2,1,2.3333333333333335,3.2222222222222223,1.1111111111111112
5,2,1,1,4,4,2,1,1,2,1,1,1,3,1,4,5,5,2,5,5,1,4,1,1,2,1,2.111111111111111,2.111111111111111,1.5555555555555556
5,5,1,1,5,4,2,2,1,4,1,5,1,2,1,4,5,2,1,5,5,1,4,1,1,2,1,2.2222222222222223,2.3333333333333335,1.6666666666666667
5,2,1,1,5,5,2,1,1,2,1,1,1,2,1,5,4,5,1,5,4,1,4,1,2,2,1,2.2222222222222223,2.0,1.5555555555555556
5,3,1,1,4,4,2,1,1,5,1,1,1,2,1,4,4,1,2,3,2,1,4,1,1,2,1,2.4444444444444446,2.0,1.4444444444444444
5,5,1,1,4,5,1,5,1,3,1,1,1,4,1,4,2,1,5,5,4,1,4,1,1,2,1,2.4444444444444446,3.3333333333333335,1.1111111111111112
